Simbad_ID,Seq,Name,l[deg],Diam[pc],R[pc],Z[pc],E(B-V),logT[yr],SimbadName,_RA[deg],_Dec[deg]
Trumpler_31,1,Trumpler_31,2,1.43,986,-39, 0.35, 8.87,Trumpler_31,269.975,-28.183329999999998
NGC_6520,2,NGC_6520,2,2.29,1577,-78, 0.43, 7.72,NGC_6520,270.85,-27.883329999999997
NGC_6530,3,NGC_6530,6,5.42,1330,-31, 0.33, 6.87,NGC_6530,271.125,-24.366670000000003
Cl_Bochum_14,4,Bochum_14,6,0.34,578,-5, 1.51, 7.00,Bochum_14,270.5,-23.7
NGC_6514,5,NGC_6514,7,6.65,816,-4, 0.19, 7.37,NGC_6514,270.59583,-23.03
NGC_6546,6,NGC_6546,7,3.82,938,-23, 0.49, 7.85,NGC_6546,271.9,-23.33333
M_21,7,NGC_6531,7,2.91,1205,-7, 0.28, 7.07,NGC_6531,271.05,-22.48333
M_23,8,NGC_6494,9,5.3,628,31, 0.36, 8.48,NGC_6494,269.25,-18.98333
Cl_Trumpler_33,10,Trumpler_33,12,2.55,1755,-99, 0.36, 7.68,Trumpler_33,276.175,-19.71667
Cl_Collinder_469,11,Collinder_469,12,1.29,1481,-20, 0.42, 7.80,Collinder_469,274.1,-18.21667
NGC_6603,12,NGC_6603,12,6.28,3600,-82, 0.79, 8.30,NGC_6603,274.6,-18.433329999999998
IC_4725,13,IC_4725,13,5.23,620,-48, 0.48, 7.96,IC_4725,277.925,-19.116670000000003
M_18,14,NGC_6613,14,1.88,1296,-23, 0.45, 7.22,NGC_6613,275.0,-17.1
C_1850-204,15,Collinder_394,14,4.42,690,-112, 0.24, 7.80,Collinder_394,283.1,-20.2
NGC_6618,16,NGC_6618,15,9.45,1300,-17, 1.51, 6.00,NGC_6618,275.10832999999997,-16.17667
NGC_6716,17,NGC_6716,15,2.3,789,-131, 0.22, 7.96,NGC_6716,283.625,-19.9
Cl_Blanco_1,18,Blanco_1,15,5.48,269,-264, 0.01, 7.80,Blanco_1,0.825,-30.133329999999997
M_16,19,NGC_6611,16,3.05,1749,24, 0.78, 6.88,NGC_6611,274.7,-13.816670000000002
Cl_Trumpler_32,20,Trumpler_32,17,2.5,1720,39, 0.64, 8.48,Trumpler_32,274.375,-13.35
NGC_6604,21,NGC_6604,18,2.47,1696,50, 0.97, 6.81,NGC_6604,274.5,-12.23333
NGC_6631,22,NGC_6631,19,4.54,2600,-8, 0.45, 8.60,NGC_6631,276.8,-12.03333
NGC_6774,23,Ruprecht_147,21,1.27,174,-39, 0.15,     ,Ruprecht_147,289.175,-16.3
NGC_6649,24,NGC_6649,21,1.99,1369,-19, 1.20, 7.57,NGC_6649,278.375,-10.4
M_26,25,NGC_6694,23,3.26,1600,-81, 0.59, 7.93,NGC_6694,281.325,-9.38333
NGC_6664,26,NGC_6664,24,4.06,1164,-6, 0.71, 7.16,NGC_6664,279.175,-8.21667
NGC_6683,27,NGC_6683,26,1.04,1197,-16, 0.54, 7.00,NGC_6683,280.55,-6.28333
NGC_6705,28,NGC_6705,27,7.1,1877,-91, 0.43, 8.30,NGC_6705,282.75,-6.2666699999999995
C_1845-059,29,Basel_1,27,3.17,2178,-74, 0.48, 7.89,Basel_1,282.05,-5.85
NGC_6704,30,NGC_6704,28,4.33,2974,-115, 0.72, 7.86,NGC_6704,282.725,-5.2
Cl_Trumpler_35,31,Trumpler_35,28,1.75,1206,0, 1.22, 7.86,Trumpler_35,280.725,-4.13333
Collinder_359,32,Collinder_359,29,17.37,249,54, 0.19, 7.51,Collinder_359,270.15,2.9333299999999998
IC_4665,33,IC_4665,30,7.17,352,103, 0.17, 7.63,IC_4665,266.575,5.71667
Cl_Berkeley_79,34,Berkeley_79,31,4.01,2300,33, 1.19, 7.81,Berkeley_79,281.3,-1.2166700000000001
[KPR2004b]_474,35,Alessi_10,31,2.69,513,-184, 0.22, 8.35,Alessi_10,301.2,-10.525
Cl_Berkeley_81,36,Berkeley_81,33,4.36,3000,-131, 1.00, 9.00,Berkeley_81,285.4,-0.51667
M_73,37,NGC_6994,35,1.62,620,-346, 0.07, 9.40,NGC_6994,314.75,-12.63333
NGC_6633,38,NGC_6633,36,2.19,376,54, 0.18, 8.63,NGC_6633,276.88,6.57
IC_4756,40,IC_4756,36,5.49,484,44, 0.19, 8.70,IC_4756,279.63,5.49
NGC_6755,41,NGC_6755,38,5.79,1421,-42, 0.83, 7.72,NGC_6755,286.95,4.2333300000000005
NGC_6756,42,NGC_6756,39,1.75,1507,-44, 1.18, 7.79,NGC_6756,287.175,4.683330000000001
Cl_Alessi_19,43,Alessi_19,40,14.08,550,121, 0.04, 8.00,Alessi_19,274.6,12.025
NGC_6709,44,NGC_6709,42,4.38,1075,88, 0.30, 8.18,NGC_6709,282.825,10.31667
Cl_Berkeley_82,45,Berkeley_82,46,0.5,860,24, 1.02, 7.49,Berkeley_82,287.83333,13.110829999999998
Cl_Collinder_399,46,Collinder_399,54,33.42,1291,44, 0.38, 8.20,Collinder_399,291.35,20.183329999999998
NGC_6802,47,NGC_6802,55,1.63,1124,18, 0.85, 8.87,NGC_6802,292.65,20.26667
C_1950+182,48,Harvard_20,56,3.14,1540,-125, 0.25, 7.48,Harvard_20,298.275,18.33333
C_1956+203,49,Roslund_3,58,2.13,1467,-120, 0.35, 8.04,Roslund_3,299.675,20.48333
NGC_6823,50,NGC_6823,59,3.3,1893,-5, 0.84, 6.82,NGC_6823,295.79167,23.29833
NGC_6830,51,NGC_6830,60,2.38,1639,-51, 0.50, 7.57,NGC_6830,297.75,23.1
C_1933+251,52,Stock_1,60,7.45,320,13, 0.15,     ,Stock_1,293.95,25.21667
Turner_1,53,Turner_1,63,1.95,1675,21, 0.48, 7.46,Turner_1,297.26667000000003,27.29833
NGC_7036,54,NGC_7036,64,1.16,1000,-366, 0.10, 9.50,NGC_7036,317.50833,15.518329999999999
NGC_6885,55,NGC_6885,65,1.74,597,-42, 0.08, 9.16,NGC_6885,303.0,26.48333
NGC_6834,56,NGC_6834,65,3.01,2067,43, 0.71, 7.88,NGC_6834,298.05,29.41667
Stephenson_1,57,Stephenson_1,66,2.27,390,104, 0.04, 7.73,Stephenson_1,283.5,36.81667
C_2002+290,58,Roslund_4,66,2.65,2510,-56, 0.99, 7.45,Roslund_4,301.225,29.21667
[KPR2004b]_492,59,Alessi_12,67,6.25,537,-107, 0.08, 8.10,Alessi_12,310.82917000000003,23.775
[SSW94]_f,60,Saurer_6,67,4.89,9330,511, 0.77, 9.29,Saurer_6,297.75,32.25
NGC_6940,61,NGC_6940,69,5.6,770,-96, 0.21, 8.86,NGC_6940,308.6,28.28333
NGC_6791,62,NGC_6791,69,17.03,5853,1107, 0.12, 9.64,NGC_6791,290.22083,37.77167
Roslund_5,63,Roslund_5,71,5.66,389,2, 0.10, 7.83,Roslund_5,302.6,33.8
NGC_6871,64,NGC_6871,72,13.28,1574,56, 0.44, 6.96,NGC_6871,301.5,35.78333
Cl_Biurakan_2,65,Biurakan_2,72,6.43,1106,26, 0.36, 7.01,Biurakan_2,302.3,35.48333
NGC_6819,66,NGC_6819,73,3.43,2360,348, 0.24, 9.17,NGC_6819,295.325,40.18667
C_2005+382,67,Basel_6,74,3.15,1548,89, 0.58, 7.98,Basel_6,301.7,38.35
IC_4996,68,IC_4996,75,3.02,1732,39, 0.67, 6.95,IC_4996,304.125,37.63333
Cl_Berkeley_87,69,Berkeley_87,75,1.84,633,3, 1.37, 7.15,Berkeley_87,305.42921,37.3705
C_2017+379,70,Dolidze_42,76,1.98,972,18, 0.57, 7.54,Dolidze_42,304.925,38.13333
Cl_Berkeley_86,71,Berkeley_86,76,1.94,1112,25, 0.90, 7.12,Berkeley_86,305.05,38.69
M_29,72,NGC_6913,76,3.34,1148,12, 0.74, 7.11,NGC_6913,305.98332999999997,38.52333
IC_1311,73,IC_1311,77,7.76,5333,398, 0.76, 8.62,IC_1311,302.575,41.21667
NGC_6910,74,NGC_6910,78,3.31,1139,40, 0.97, 7.13,NGC_6910,305.78333,40.775
NGC_6811,75,NGC_6811,79,4.95,1215,253, 0.16, 8.80,NGC_6811,294.29167,46.375
NGC_6866,76,NGC_6866,79,5.91,1450,173, 0.17, 8.58,NGC_6866,300.97917,44.15833
NGC_7063,77,NGC_7063,83,1.8,689,-118, 0.09, 7.98,NGC_7063,321.1,36.48333
Cl_Berkeley_54,78,Berkeley_54,83,2.68,2300,-166, 0.77, 9.60,Berkeley_54,315.8,40.46667
NGC_7044,79,NGC_7044,85,5.52,3161,-229, 0.59, 9.28,NGC_7044,318.25,42.48333
NGC_6996,80,NGC_6996,86,1.44,620,1, 0.54, 8.00,NGC_6996,314.10417,45.47
NGC_7039,81,NGC_7039,87,3.87,951,-28, 0.13, 7.82,NGC_7039,317.7,45.61667
C_2108+460,82,Basel_12,88,1.71,1466,-32, 0.57, 8.50,Basel_12,317.625,46.23333
Basel_14,83,Basel_14,88,1.4,964,-60, 0.65, 8.30,Basel_14,320.325,44.81667
Basel_13,84,Basel_13,88,3.6,1236,-27, 0.34, 8.80,Basel_13,318.075,46.56667
IC_1369,85,IC_1369,89,3.03,2083,-15, 0.57, 8.64,IC_1369,318.025,47.73333
NGC_7062,86,NGC_7062,89,2.15,1480,-71, 0.45, 8.46,NGC_7062,320.825,46.38333
C_2114+486,87,Basel_15,90,2.36,1355,-2, 0.67, 8.50,Basel_15,318.975,48.85
NGC_7082,88,NGC_7082,91,10.49,1442,-73, 0.24, 8.23,NGC_7082,322.25,47.13333
NGC_7067,89,NGC_7067,91,1.16,1332,-39, 0.85, 7.49,NGC_7067,321.05,48.01667
NGC_7031,90,NGC_7031,91,3.67,900,36, 0.85, 8.14,NGC_7031,316.80332999999996,50.88194
M_39,91,NGC_7092,92,2.75,326,-13, 0.01, 8.44,NGC_7092,322.95,48.45
Cl_Platais_1,92,Platais_1,92,3.69,1268,-36, 0.36, 8.24,Platais_1,322.50833,48.97667
IC_5146,93,IC_5146,94,4.96,852,-82, 0.59, 8.02,IC_5146,328.38333,47.26833
NGC_7086,94,NGC_7086,94,4.53,1298,5, 0.81, 8.14,NGC_7086,322.625,51.58333
NGC_7209,95,NGC_7209,95,4.76,1168,-149, 0.17, 8.62,NGC_7209,331.325,46.48333
NGC_6939,96,NGC_6939,95,3.45,1185,253, 0.32, 9.35,NGC_6939,307.875,60.661669999999994
NGC_7128,97,NGC_7128,97,2.68,2307,17, 1.02, 7.25,NGC_7128,326.0,53.71666999999999
NGC_7243,98,NGC_7243,98,6.82,808,-78, 0.22, 8.06,NGC_7243,333.775,49.9
Trumpler_37,99,Trumpler_37,99,21.61,835,54, 0.47, 7.05,Trumpler_37,324.53625,57.44667
IC_1442,100,IC_1442,101,3.41,2346,-90, 0.54, 6.98,IC_1442,334.125,54.05
NGC_7245,101,NGC_7245,101,3.06,2106,-68, 0.47, 8.25,NGC_7245,333.825,54.333330000000004
NGC_7226,102,NGC_7226,101,1.52,2616,-27, 0.54, 8.44,NGC_7226,332.625,55.416669999999996
NGC_7235,103,NGC_7235,102,4.11,2823,39, 0.93, 7.07,NGC_7235,333.1,57.26667
NGC_7772,104,NGC_7772,102,1.31,1500,-1047, 0.03, 9.17,NGC_7772,357.94167000000004,16.24667
Cl_Berkeley_94,105,Berkeley_94,103,2.3,2630,-54, 0.61, 7.00,Berkeley_94,335.725,55.87333
Cl_Berkeley_96,106,Berkeley_96,103,1.8,3087,-111, 0.63, 6.82,Berkeley_96,337.47083,55.40833000000001
NGC_7160,107,NGC_7160,104,1.15,789,89, 0.38, 7.28,NGC_7160,328.4,62.6
NGC_7261,108,NGC_7261,104,2.44,1681,27, 0.97, 7.67,NGC_7261,335.1,58.083330000000004
Cl_Berkeley_93,109,Berkeley_93,105,3.26,5600,713, 1.50, 8.00,Berkeley_93,329.05,63.933330000000005
NGC_7142,110,NGC_7142,105,5.89,1686,278, 0.40, 9.28,NGC_7142,326.2875,65.775
NAME_Cl_Pismis-Moreno_1,111,Pismis-Moreno_1,106,1.57,900,83,     ,     ,Pismis-Moreno_1,334.7,63.26667
NGC_7380,112,NGC_7380,107,12.93,2222,-34, 0.60, 7.08,NGC_7380,341.775,58.11666999999999
Cl_King_10,113,King_10,108,3.93,3379,-23, 1.14, 7.45,King_10,343.725,59.166669999999996
NGC_7419,114,NGC_7419,109,2.01,1382,27, 1.83, 7.28,NGC_7419,343.575,60.833330000000004
C_1440+697,115,Collinder_285,109,9.9,25,18, 0.00, 8.30,Collinder_285,220.225,69.56667
C_2306+602,116,King_19,110,2.86,1967,5, 0.55, 8.56,King_19,347.075,60.51667
NGC_7510,117,NGC_7510,110,3.62,2075,2, 0.86, 7.58,NGC_7510,347.75,60.566669999999995
M_52,119,NGC_7654,112,6.2,1421,11, 0.65, 7.76,NGC_7654,351.2,61.583330000000004
Cl_Stock_17,120,Stock_17,115,0.62,2144,10, 0.74, 6.78,Stock_17,356.5,62.183330000000005
NGC_7789,121,NGC_7789,115,16.99,2337,-219, 0.22, 9.24,NGC_7789,359.35,56.708330000000004
C_2347+624,122,King_21,115,2.45,2103,25, 0.89, 7.16,King_21,357.475,62.71666999999999
Cl_Berkeley_99,123,Berkeley_99,115,7.13,4900,860, 0.30, 9.50,Berkeley_99,350.4,71.75
Cl_King_12,124,King_12,116,2.08,2378,-5, 0.59, 7.04,King_12,358.25,61.96666999999999
NGC_7788,125,NGC_7788,116,2.76,2374,-32, 0.28, 7.59,NGC_7788,359.2,61.4
NGC_7790,126,NGC_7790,116,4.28,2944,-52, 0.53, 7.75,NGC_7790,359.6,61.21666999999999
Cl_Berkeley_58,127,Berkeley_58,116,5.4,3715,-84, 0.55, 8.40,Berkeley_58,0.0,60.96666999999999
C_2345+683,128,King_11,117,4.21,2892,326, 1.27, 9.05,King_11,356.95,68.63333
NGC_7762,129,NGC_7762,117,3.03,744,76, 0.71, 8.42,NGC_7762,357.45,68.03333
Cl_Berkeley_60,130,Berkeley_60,118,3.81,4365,-125, 0.86, 8.20,Berkeley_60,4.4225,60.96111
Cl_Berkeley_2,131,Berkeley_2,119,3.05,5250,-211, 0.80, 8.90,Berkeley_2,6.325,60.4
NGC_103,132,NGC_103,119,3.52,3026,-73, 0.41, 8.13,NGC_103,6.325,61.35
NGC_129,133,NGC_129,120,8.98,1625,-72, 0.55, 7.89,NGC_129,7.5,60.21666999999999
NGC_136,134,NGC_136,120,1.79,4093,-91, 0.56, 8.30,NGC_136,7.875,61.53333000000001
NGC_133,135,NGC_133,120,1.28,630,6, 0.60, 7.00,NGC_133,7.8,63.36666999999999
C_0029+628,136,King_14,120,4.53,2593,17, 0.41, 7.92,King_14,7.975,63.166669999999996
Cl_King_15,137,King_15,120,2.76,3162,-51, 0.70, 8.40,King_15,8.2325,61.85944
NGC_146,138,NGC_146,120,6.17,3032,27, 0.48, 7.82,NGC_146,8.275,63.3
NGC_189,139,NGC_189,121,0.66,752,-23, 0.42, 7.00,NGC_189,9.9,61.066669999999995
Cl_Stock_24,140,Stock_24,121,4.1,2818,-44, 0.50, 8.08,Stock_24,9.925,61.95
NGC_225,141,NGC_225,122,2.29,657,-12, 0.27, 8.11,NGC_225,10.925,61.78333000000001
NGC_188,142,NGC_188,122,10.12,2047,780, 0.08, 9.63,NGC_188,12.10833,85.255
Cl_King_2,143,King_2,122,8.36,5750,-470, 0.31, 9.78,King_2,12.75,58.183330000000005
IC_1590,144,IC_1590,123,24.8,2940,-320, 0.32, 6.54,IC_1590,13.2,56.63333000000001
NAME_Casado_Alessi_1,145,Alessi_1,123,4.22,302,-69, 0.09, 8.20,Alessi_1,13.25,49.55
Cl_Berkeley_62,146,Berkeley_62,123,2.67,1837,35, 0.85, 7.18,Berkeley_62,15.25,63.95
NGC_366,147,NGC_366,124,1.82,1785,-18, 1.26, 7.41,NGC_366,16.625,62.23333
NGC_381,148,NGC_381,124,2.0,1148,-24, 0.40, 8.50,NGC_381,17.08292,61.583890000000004
NGC_433,149,NGC_433,125,1.35,2323,-106, 0.86, 7.50,NGC_433,18.8,60.13333000000001
NGC_436,150,NGC_436,126,4.38,3014,-205, 0.46, 7.93,NGC_436,18.9,58.816669999999995
NGC_457,151,NGC_457,126,14.13,2429,-186, 0.47, 7.32,NGC_457,19.91667,58.28833
NGC_559,152,NGC_559,127,2.2,1258,16, 0.79, 7.75,NGC_559,22.34,63.28
Collinder_463,153,Collinder_463,127,5.92,702,117, 0.26, 8.37,Collinder_463,26.725,71.8
NGC_609,154,NGC_609,127,3.47,3981,145, 0.35, 9.23,NGC_609,24.10375,64.53667
M_103,155,NGC_581,128,3.19,2194,-69, 0.38, 7.34,NGC_581,23.35,60.65
C_0132+610,156,Trumpler_1,128,2.24,2563,-51, 0.58, 7.48,Trumpler_1,23.925,61.28333000000001
NAME_HIP_5671_Cluster,157,Platais_2,128,19.61,201,-102,     , 8.60,Platais_2,18.45833,32.02833
NGC_637,158,NGC_637,128,1.88,2160,65, 0.63, 6.98,NGC_637,25.775,64.03333
NGC_654,159,NGC_654,129,2.97,2041,-13, 0.87, 7.15,NGC_654,26.0,61.88333000000001
NGC_659,160,NGC_659,129,2.82,1938,-53, 0.65, 7.55,NGC_659,26.1,60.666669999999996
NGC_663,161,NGC_663,129,7.95,1952,-32, 0.78, 7.21,NGC_663,26.55,61.23333
IC_166,162,IC_166,130,8.08,3970,-13, 1.05, 8.63,IC_166,28.125,61.833330000000004
Cl_Berkeley_7,163,Berkeley_7,130,2.99,2570,17, 0.80, 6.60,Berkeley_7,28.55,62.36666999999999
Cl_Berkeley_64,164,Berkeley_64,131,2.32,3981,320, 1.05, 9.00,Berkeley_64,35.26167,65.89667
NGC_744,165,NGC_744,132,1.76,1207,-130, 0.38, 8.25,NGC_744,29.65,55.46666999999999
Cl_Stock_2,166,Stock_2,133,3.97,303,-10, 0.38, 8.23,Stock_2,33.6,59.26667
Basel_10,167,Basel_10,134,1.13,1944,-89, 0.77, 7.61,Basel_10,34.7,58.316669999999995
NGC_869,168,NGC_869,134,10.89,2079,-136, 0.58, 7.07,NGC_869,34.775,57.15
C_0225+604,169,Stock_7,134,1.02,698,0, 0.61, 7.21,Stock_7,37.4,60.71666999999999
IC_1805,170,IC_1805,134,10.97,1886,30, 0.82, 6.82,IC_1805,38.175,61.45
NGC_884,171,NGC_884,135,12.28,2345,-146, 0.56, 7.03,NGC_884,35.5,57.13333000000001
Czernik_13,172,Czernik_13,135,4.61,3961,160, 0.76, 6.85,Czernik_13,41.175,62.35
NGC_1027,173,NGC_1027,135,4.49,772,21, 0.32, 8.20,NGC_1027,40.65,61.63333000000001
Czernik_8,174,Czernik_8,135,0.82,1409,-39, 0.80, 7.90,Czernik_8,38.25,58.73333
Cl_Berkeley_65,175,Berkeley_65,135,3.31,2274,11, 1.12, 7.00,Berkeley_65,39.75,60.416669999999996
King_4,176,King_4,136,4.61,3172,-66, 0.86, 7.60,King_4,38.925,59.0
NGC_957,177,NGC_957,136,5.28,1815,-84, 0.84, 7.04,NGC_957,38.35,57.566669999999995
NGC_752,178,NGC_752,137,9.97,457,-180, 0.03, 9.05,NGC_752,29.42083,37.785
IC_1848,179,IC_1848,137,10.48,2002,32, 0.60, 6.84,IC_1848,42.3375,60.63417
C_0233+557,180,Trumpler_2,137,3.22,651,-44, 0.32, 8.17,Trumpler_2,39.225,55.916669999999996
NAME_HIP_21974_Cluster,181,Platais_3,139,10.18,161,45,     , 8.60,Platais_3,70.40417,71.23666999999999
Cl_Berkeley_66,182,Berkeley_66,139,6.05,5200,20, 1.25, 9.70,Berkeley_66,46.075,58.76667
NGC_1220,183,NGC_1220,143,2.09,1800,-124, 0.70, 7.78,NGC_1220,47.925,53.333330000000004
C_0324+562,184,King_6,143,2.53,871,-1, 0.50, 8.34,King_6,52.01458,56.458330000000004
M_34,185,NGC_1039,143,5.08,499,-134, 0.07, 8.25,NGC_1039,40.525,42.76667
NGC_1502,186,NGC_1502,143,1.91,821,109, 0.76, 7.05,NGC_1502,61.975,62.333330000000004
C_0311+525,187,King_5,143,2.76,1900,-142,     , 9.00,King_5,48.65,52.71666999999999
NGC_1245,188,NGC_1245,146,7.53,2876,-446, 0.30, 8.70,NGC_1245,48.675,47.25
NGC_1193,189,NGC_1193,146,3.75,4300,-909, 0.12, 9.90,NGC_1193,46.38333,44.38333
Cl_Melotte_20,190,Melotte_20,146,16.12,185,-23, 0.09, 7.85,Melotte_20,51.5,49.11667
IC_361,191,IC_361,147,1.87,1070,106, 1.12, 7.72,IC_361,64.75,58.3
NGC_1444,192,NGC_1444,148,1.4,1199,-27, 0.71, 7.96,NGC_1444,57.35,52.666669999999996
Cl_King_7,193,King_7,149,4.48,2200,-39, 1.25, 8.80,King_7,59.75,51.8
NGC_1496,194,NGC_1496,149,1.43,1230,4, 0.45, 8.80,NGC_1496,61.1,52.61666999999999
GSC_03719-00517,195,Waterloo_1,151,6.4,4400,137, 0.90,     ,Waterloo_1,64.88717,52.97821999999999
NGC_1528,196,NGC_1528,152,3.61,776,3, 0.26, 8.57,NGC_1528,63.85,51.21667
[KPR2004b]_55,197,Alessi_2,152,4.37,501,55, 0.18, 8.50,Alessi_2,71.6,55.25
NGC_1513,198,NGC_1513,152,3.84,1320,-36, 0.67, 8.11,NGC_1513,62.65,49.51667
NGC_1545,199,NGC_1545,153,3.72,711,2, 0.30, 8.45,NGC_1545,65.225,50.25
NGC_1342,200,NGC_1342,154,2.9,665,-176, 0.32, 8.66,NGC_1342,53.31029,37.41786
Cl_Berkeley_11,201,Berkeley_11,157,4.19,2881,-183, 0.95, 7.72,Berkeley_11,65.15,44.91667
NGC_1605,202,NGC_1605,158,4.47,2552,-71, 0.97, 7.61,NGC_1605,68.75,45.25
C_0442+446,203,Ruprecht_148,160,3.52,3028,-21, 0.70, 7.72,Ruprecht_148,71.64537,44.70978
IC_348,204,IC_348,160,0.78,385,-117, 0.93, 7.64,IC_348,56.14167,32.16333
Cl_Berkeley_12,205,Berkeley_12,161,3.68,3162,-110, 0.70, 9.67,Berkeley_12,71.15583000000001,42.67722
NGC_1664,206,NGC_1664,161,3.14,1199,-9, 0.25, 8.46,NGC_1664,72.8,43.66667
Cl_Berkeley_69,207,Berkeley_69,162,5.86,1678,-70, 0.67, 8.39,Berkeley_69,81.15,32.65
